rg,nome,idade,cidade,doenca
20485035,Mozelle,55,Betim,covid-19
20485812,Onnie,86,Betim,virose
20486589,Hyacinth,68,Betim,dengue
20487366,Junie,87,Santa Luzia,cancer
20488143,Montie,16,Ribeirão das Neves,virose
20488920,Milford,79,Santa Luzia,virose
20489697,Geneva,16,Betim,pneumonia
20490474,Carra,25,Ribeirão das Neves,febre amarela
20491251,Johnson,99,Contagem,virose
20492028,Sister,4,Santa Luzia,dengue
20492805,Shep,7,Betim,cancer
20493582,Emmie,58,Ribeirão das Neves,gripe
20494359,Mark,14,Ribeirão das Neves,cancer
20495136,Montie,66,Belo Horizonte,gripe
20495913,Mozell,28,Contagem,catapora
20496690,Wallace,77,Contagem,artrite
20497467,Clarance,70,Belo Horizonte,febre amarela
20498244,Mitchell,55,Belo Horizonte,pneumonia
20499021,Prince,13,Betim,covid-19
20499798,Parilee,94,Betim,febre amarela
20500575,Dimple,5,Ribeirão das Neves,febre amarela
20501352,Dixie,65,Santa Luzia,artrite
20502129,Osa,74,Belo Horizonte,febre amarela
20502906,Vinie,69,Betim,fibromialgia
20503683,Bethel,47,Santa Luzia,pneumonia
20504460,Hector,88,Ribeirão das Neves,fibromialgia
20505237,Lana,24,Ribeirão das Neves,pneumonia
20506014,Leoma,80,Betim,catapora
20506791,Addie,98,Belo Horizonte,fibromialgia
20507568,Tony,23,Betim,cancer
20508345,Camilla,83,Betim,dengue
20509122,Frances,62,Ribeirão das Neves,artrite
20509899,Truman,49,Belo Horizonte,artrite
20510676,Arletta,37,Contagem,virose
20511453,Vicy,69,Betim,fibromialgia
20512230,Jesus,4,Belo Horizonte,gripe
20513007,Hellen,14,Belo Horizonte,dengue
20513784,Belton,78,Contagem,dengue
20514561,Vera,5,Betim,gripe
20515338,Bobbie,39,Betim,cancer
20516115,Clotilde,82,Ribeirão das Neves,gripe
20516892,Veronica,38,Ribeirão das Neves,gripe
20517669,Lorayne,49,Belo Horizonte,fibromialgia
20518446,Fleda,46,Betim,catapora
20519223,Lorin,55,Betim,febre amarela
20520000,Arlington,25,Santa Luzia,gripe
20520777,Asbury,85,Ribeirão das Neves,pneumonia
20521554,Allen,92,Ribeirão das Neves,cancer
20522331,Glennie,33,Contagem,febre amarela
20523108,Charlsie,72,Ribeirão das Neves,catapora
20523885,Laurie,16,Betim,pneumonia
20524662,Erna,95,Santa Luzia,febre amarela
20525439,George,37,Belo Horizonte,virose
20526216,Corinne,19,Betim,catapora
20526993,Ona,73,Contagem,virose
20527770,Ivy,37,Belo Horizonte,fibromialgia
20528547,Zack,50,Betim,dengue
20529324,Charlie,92,Belo Horizonte,cancer
20530101,Waymon,27,Betim,cancer
20530878,Julia,38,Belo Horizonte,dengue
20531655,Alberta,80,Ribeirão das Neves,pneumonia
20532432,Ike,23,Santa Luzia,febre amarela
20533209,Jeanie,96,Belo Horizonte,cancer
20533986,Dot,46,Santa Luzia,catapora
20534763,Azzie,19,Belo Horizonte,febre amarela
20535540,Lois,41,Betim,artrite
20536317,Birtha,71,Betim,fibromialgia
20537094,Nelia,54,Santa Luzia,covid-19
20537871,Margeret,5,Belo Horizonte,covid-19
20538648,Ike,30,Contagem,virose
20539425,Christopher,42,Belo Horizonte,gripe
20540202,Missouri,62,Belo Horizonte,gripe
20540979,Maude,84,Ribeirão das Neves,gripe
20541756,Casimir,49,Santa Luzia,fibromialgia
20542533,Anton,78,Ribeirão das Neves,febre amarela
20543310,Betty,26,Contagem,catapora
20544087,Lige,14,Betim,artrite
20544864,Zetta,11,Betim,artrite
20545641,Lon,40,Contagem,catapora
20546418,Marcus,69,Betim,dengue
20547195,Majorie,6,Betim,pneumonia
20547972,Isadore,70,Belo Horizonte,catapora
20548749,Lenore,31,Belo Horizonte,covid-19
20549526,Christie,95,Betim,covid-19
20550303,Lilyan,24,Betim,cancer
20551080,Maree,8,Contagem,artrite
20551857,Jefferson,32,Santa Luzia,cancer
20552634,Everleaner,28,Contagem,virose
20553411,Mima,96,Betim,gripe
20554188,Jonas,81,Contagem,pneumonia
20554965,Renee,50,Betim,catapora
20555742,Lonie,22,Ribeirão das Neves,dengue
20556519,Carmine,89,Contagem,virose
20557296,Lassie,13,Belo Horizonte,covid-19
20558073,Roman,73,Contagem,dengue
20558850,Leatrice,17,Belo Horizonte,dengue
20559627,Narcissus,12,Belo Horizonte,virose
20560404,Carlton,68,Betim,fibromialgia
20561181,Elta,71,Betim,gripe
20561958,Freddie,20,Betim,virose
20562735,Hermina,13,Contagem,artrite
20563512,Birtha,67,Belo Horizonte,virose
20564289,Ocie,31,Contagem,virose
20565066,Steve,94,Contagem,cancer
20565843,Lina,75,Belo Horizonte,covid-19
20566620,China,21,Santa Luzia,virose
20567397,Woodrow,61,Ribeirão das Neves,cancer
20568174,Dell,32,Contagem,cancer
20568951,Iris,27,Betim,fibromialgia
20569728,Printes,31,Belo Horizonte,fibromialgia
20570505,Andrew,34,Contagem,catapora
20571282,Guss,27,Ribeirão das Neves,dengue
20572059,Harve,1,Contagem,artrite
20572836,Santos,15,Betim,catapora
20573613,Eulah,17,Santa Luzia,dengue
20574390,Lottie,8,Contagem,gripe
20575167,Isabel,29,Santa Luzia,cancer
20575944,Harmon,81,Santa Luzia,covid-19
20576721,Kittie,13,Betim,virose
20577498,Zulema,90,Ribeirão das Neves,dengue
20578275,Inga,85,Belo Horizonte,pneumonia
20579052,Jesse,74,Contagem,catapora
20579829,Zita,9,Betim,pneumonia
20580606,Lema,69,Santa Luzia,cancer
20581383,Helga,77,Belo Horizonte,virose
20582160,Bliss,17,Santa Luzia,covid-19
20582937,Armand,91,Santa Luzia,fibromialgia
20583714,Audre,68,Betim,cancer
20584491,Tommie,75,Betim,dengue
20585268,Clora,92,Betim,febre amarela
20586045,Verl,55,Betim,dengue
20586822,Perry,95,Contagem,febre amarela
20587599,Silvia,23,Contagem,virose
20588376,Zella,34,Betim,covid-19
20589153,Dorothy,96,Belo Horizonte,artrite
20589930,Rosy,33,Ribeirão das Neves,gripe
20590707,Clarice,44,Betim,virose
20591484,Arnett,91,Contagem,covid-19
20592261,Edra,60,Santa Luzia,covid-19
20593038,Cloyd,97,Contagem,gripe
20593815,Rita,45,Ribeirão das Neves,dengue
20594592,Winfield,40,Santa Luzia,virose
20595369,Betty,55,Belo Horizonte,covid-19
20596146,Ellie,73,Betim,virose
20596923,Ana,74,Santa Luzia,cancer
20597700,Bama,34,Belo Horizonte,catapora
20598477,Cara,18,Betim,catapora
20599254,Alfonse,44,Belo Horizonte,gripe
20600031,Barbara,17,Betim,covid-19
20600808,Carra,10,Santa Luzia,dengue
20601585,Juliette,70,Contagem,covid-19
20602362,Era,92,Santa Luzia,febre amarela
20603139,Loyce,81,Betim,covid-19
20603916,Glennie,80,Betim,catapora
20604693,Gaston,97,Belo Horizonte,gripe
20605470,Bailey,17,Contagem,artrite
20606247,Chester,27,Belo Horizonte,virose
20607024,Isabelle,58,Belo Horizonte,dengue
20607801,Esta,54,Ribeirão das Neves,febre amarela
20608578,June,82,Ribeirão das Neves,covid-19
20609355,Georgina,27,Santa Luzia,covid-19
20610132,Emerson,66,Ribeirão das Neves,pneumonia
20610909,Luvinia,27,Belo Horizonte,virose
20611686,Adna,47,Ribeirão das Neves,fibromialgia
20612463,Myrtle,25,Belo Horizonte,virose
20613240,Sena,29,Santa Luzia,artrite
20614017,Lorine,51,Betim,artrite
20614794,Chas,98,Belo Horizonte,gripe
20615571,Meryl,69,Ribeirão das Neves,pneumonia
20616348,Dora,41,Contagem,cancer
20617125,Verner,37,Ribeirão das Neves,cancer
20617902,Manie,33,Belo Horizonte,gripe
20618679,Loyal,34,Ribeirão das Neves,covid-19
20619456,Junior,70,Betim,pneumonia
20620233,Zela,22,Ribeirão das Neves,artrite
20621010,Darlene,97,Betim,catapora
20621787,Rosia,4,Betim,virose
20622564,Anson,1,Belo Horizonte,virose
20623341,Francies,91,Belo Horizonte,cancer
20624118,Hallie,92,Contagem,cancer
20624895,Goldye,38,Belo Horizonte,dengue
20625672,Vassie,62,Contagem,covid-19
20626449,Ava,90,Santa Luzia,artrite
20627226,Forrest,13,Betim,virose
20628003,Louis,15,Contagem,fibromialgia
20628780,Nonnie,36,Santa Luzia,dengue
20629557,Ellis,79,Santa Luzia,febre amarela
20630334,Valerie,39,Belo Horizonte,artrite
20631111,Hilda,43,Contagem,febre amarela
20631888,Isla,4,Belo Horizonte,cancer
20632665,Jerome,79,Betim,virose
20633442,Austa,27,Contagem,fibromialgia
20634219,Granville,67,Betim,dengue
20634996,Eve,26,Betim,covid-19
20635773,Larry,62,Betim,covid-19
20636550,Zera,98,Belo Horizonte,febre amarela
20637327,Hettie,45,Belo Horizonte,dengue
20638104,Hilliard,62,Contagem,febre amarela
20638881,Elvia,12,Belo Horizonte,artrite
20639658,Deanna,37,Contagem,dengue
20640435,Louis,94,Betim,artrite
20641212,Sebron,18,Santa Luzia,cancer
20641989,Maybell,1,Betim,febre amarela
20642766,Tilla,59,Ribeirão das Neves,artrite
20643543,Ignatius,7,Belo Horizonte,cancer
20644320,Fritz,7,Belo Horizonte,dengue
20645097,Clarance,2,Belo Horizonte,pneumonia
20645874,Pallie,69,Contagem,dengue
20646651,Fredonia,44,Betim,pneumonia
20647428,Edith,62,Betim,cancer
20648205,Edd,91,Belo Horizonte,gripe
20648982,Millicent,65,Contagem,fibromialgia
20649759,Garnett,72,Belo Horizonte,dengue
20650536,Delma,88,Ribeirão das Neves,catapora
20651313,Solomon,74,Santa Luzia,febre amarela
20652090,Alpha,62,Belo Horizonte,pneumonia
20652867,Homer,95,Ribeirão das Neves,fibromialgia
20653644,Eara,75,Santa Luzia,gripe
20654421,Herma,16,Belo Horizonte,gripe
20655198,Daisey,64,Belo Horizonte,gripe
20655975,Gizella,64,Betim,cancer
20656752,Madelene,22,Ribeirão das Neves,cancer
20657529,Loretta,38,Belo Horizonte,covid-19
20658306,Beuna,21,Betim,pneumonia
20659083,Weldon,10,Belo Horizonte,febre amarela
20659860,Jamie,69,Ribeirão das Neves,fibromialgia
20660637,Matthew,53,Belo Horizonte,fibromialgia
20661414,Louisa,22,Belo Horizonte,fibromialgia
20662191,Margarita,90,Santa Luzia,pneumonia
20662968,Rita,53,Ribeirão das Neves,covid-19
20663745,Morris,39,Santa Luzia,catapora
20664522,Kathryn,66,Contagem,artrite
20665299,Elenore,57,Betim,fibromialgia
20666076,Lena,20,Santa Luzia,covid-19
20666853,Angeline,58,Ribeirão das Neves,pneumonia
20667630,Anton,78,Contagem,artrite
20668407,Lissie,84,Ribeirão das Neves,dengue
20669184,Phillis,77,Santa Luzia,gripe
20669961,Donald,11,Belo Horizonte,gripe
20670738,Verlie,2,Contagem,artrite
20671515,Caroline,80,Ribeirão das Neves,dengue
20672292,Una,3,Contagem,cancer
20673069,Ronald,54,Betim,artrite
20673846,Molly,76,Santa Luzia,catapora
20674623,Essie,1,Betim,dengue
20675400,Armand,53,Betim,dengue
20676177,Weldon,26,Santa Luzia,catapora
20676954,Beckie,4,Contagem,virose
20677731,Tillie,86,Santa Luzia,febre amarela
20678508,Euclid,43,Belo Horizonte,gripe
20679285,Eathel,89,Contagem,fibromialgia
20680062,Mayme,84,Betim,artrite
20680839,Beryle,2,Belo Horizonte,gripe
20681616,Nevin,30,Belo Horizonte,artrite
20682393,Lenard,11,Contagem,virose
20683170,Perley,39,Contagem,covid-19
20683947,Thresa,10,Ribeirão das Neves,fibromialgia
20684724,Bina,13,Belo Horizonte,cancer
20685501,Chas,40,Santa Luzia,covid-19
20686278,Elva,97,Ribeirão das Neves,catapora
20687055,Philip,3,Contagem,pneumonia
20687832,Ermon,10,Ribeirão das Neves,febre amarela
20688609,Truman,21,Belo Horizonte,febre amarela
20689386,Christeen,8,Belo Horizonte,cancer
20690163,Marie,95,Belo Horizonte,fibromialgia
20690940,Alma,46,Santa Luzia,covid-19
20691717,Guadalupe,78,Santa Luzia,artrite
20692494,Ada,61,Contagem,artrite
20693271,Keith,71,Santa Luzia,virose
20694048,Millard,85,Betim,fibromialgia
20694825,Marietta,25,Contagem,catapora
20695602,Bonita,51,Ribeirão das Neves,virose
20696379,Lu,29,Ribeirão das Neves,dengue
20697156,Alice,11,Ribeirão das Neves,febre amarela
20697933,Chesley,30,Betim,cancer
20698710,Lewis,68,Ribeirão das Neves,artrite
20699487,Delmar,48,Belo Horizonte,covid-19
20700264,Molly,10,Ribeirão das Neves,febre amarela
20701041,Hedwig,40,Ribeirão das Neves,artrite
20701818,Avonelle,32,Belo Horizonte,cancer
20702595,Waymon,10,Santa Luzia,gripe
20703372,Graham,39,Ribeirão das Neves,catapora
20704149,Justina,46,Ribeirão das Neves,catapora
20704926,Timothy,89,Contagem,artrite
20705703,Phyliss,44,Belo Horizonte,febre amarela
20706480,Dasie,79,Belo Horizonte,artrite
20707257,Alvah,91,Ribeirão das Neves,catapora
20708034,Josephine,50,Santa Luzia,febre amarela
20708811,Bobbie,19,Ribeirão das Neves,febre amarela
20709588,Elgie,96,Santa Luzia,fibromialgia
20710365,Melville,41,Betim,covid-19
20711142,Nicolasa,82,Betim,catapora
20711919,Leola,71,Ribeirão das Neves,dengue
20712696,Mark,25,Ribeirão das Neves,gripe
20713473,Alec,6,Ribeirão das Neves,fibromialgia
20714250,Scott,7,Santa Luzia,artrite
20715027,Lynn,27,Contagem,gripe
20715804,Clio,62,Betim,artrite
20716581,Elias,80,Santa Luzia,dengue
20717358,Lilian,20,Betim,febre amarela
20718135,Lavinia,16,Contagem,dengue
20718912,Eldon,19,Santa Luzia,fibromialgia
20719689,Lovie,68,Betim,dengue
20720466,Clay,4,Belo Horizonte,febre amarela
20721243,Vester,71,Belo Horizonte,covid-19
20722020,Frank,79,Betim,fibromialgia
20722797,Flo,27,Ribeirão das Neves,gripe
20723574,Webster,48,Santa Luzia,virose
20724351,Kittie,59,Belo Horizonte,pneumonia
20725128,Ladislaus,67,Contagem,cancer
20725905,Snow,41,Contagem,cancer
20726682,Maude,64,Santa Luzia,gripe
20727459,Nat,82,Ribeirão das Neves,covid-19
20728236,Harrie,28,Santa Luzia,virose
20729013,Pinkey,52,Betim,cancer
20729790,Shellie,33,Belo Horizonte,catapora
20730567,Nobie,98,Contagem,covid-19
20731344,Ivory,11,Ribeirão das Neves,covid-19
20732121,Reese,41,Ribeirão das Neves,virose
20732898,Britt,9,Betim,gripe
20733675,Michela,79,Ribeirão das Neves,artrite
20734452,Cleveland,94,Betim,catapora
20735229,Christine,96,Santa Luzia,catapora
20736006,Luz,84,Betim,cancer
20736783,Arilla,61,Belo Horizonte,virose
20737560,Jim,43,Santa Luzia,catapora
20738337,Chas,41,Betim,pneumonia
20739114,Elfrieda,72,Santa Luzia,gripe
20739891,Lillie,22,Betim,catapora
20740668,Marietta,45,Contagem,cancer
20741445,Bette,63,Contagem,virose
20742222,Freeda,5,Contagem,fibromialgia
20742999,Ollie,62,Santa Luzia,virose
20743776,Celie,4,Santa Luzia,catapora
20744553,Viola,63,Belo Horizonte,catapora
20745330,Norbert,94,Belo Horizonte,virose
20746107,Orpha,4,Betim,dengue
20746884,Waneta,45,Belo Horizonte,gripe
20747661,Elva,91,Contagem,cancer
20748438,Elie,33,Contagem,gripe
20749215,Angelita,37,Contagem,catapora
20749992,Cleopatra,37,Contagem,gripe
20750769,Lavern,56,Contagem,virose
20751546,Senia,92,Belo Horizonte,covid-19
20752323,Ray,51,Contagem,fibromialgia
20753100,Newman,83,Santa Luzia,febre amarela
20753877,Louie,74,Betim,febre amarela
20754654,Lea,21,Santa Luzia,fibromialgia
20755431,Rosy,6,Betim,febre amarela
20756208,Maureen,81,Ribeirão das Neves,febre amarela
20756985,Reva,42,Contagem,dengue
20757762,Gussie,85,Ribeirão das Neves,covid-19
20758539,Dulcie,45,Belo Horizonte,catapora
20759316,Cleave,84,Belo Horizonte,artrite
20760093,Regina,80,Ribeirão das Neves,dengue
20760870,Lota,85,Ribeirão das Neves,pneumonia
20761647,Courtney,57,Ribeirão das Neves,gripe
20762424,Savannah,23,Ribeirão das Neves,gripe
20763201,Roy,38,Betim,fibromialgia
20763978,Leana,8,Santa Luzia,pneumonia
20764755,Adelene,76,Santa Luzia,febre amarela
20765532,Mattie,20,Contagem,covid-19
20766309,Ona,40,Belo Horizonte,artrite
20767086,Coy,33,Belo Horizonte,artrite
20767863,Altie,1,Contagem,fibromialgia
20768640,Coy,12,Belo Horizonte,pneumonia
20769417,Bertie,52,Belo Horizonte,cancer
20770194,Alberta,89,Ribeirão das Neves,virose
20770971,Donald,18,Ribeirão das Neves,covid-19
20771748,Yetta,58,Contagem,dengue
20772525,Enola,3,Betim,febre amarela
20773302,Eldred,85,Ribeirão das Neves,gripe
20774079,Rae,75,Belo Horizonte,artrite
20774856,Davis,40,Santa Luzia,covid-19
20775633,Aggie,60,Betim,cancer
20776410,Hershell,31,Betim,febre amarela
20777187,Zelma,32,Belo Horizonte,cancer
20777964,Wealthy,60,Santa Luzia,cancer
20778741,Modesta,47,Belo Horizonte,pneumonia
20779518,Dana,34,Contagem,fibromialgia
20780295,Elroy,62,Belo Horizonte,virose
20781072,Ruby,2,Belo Horizonte,febre amarela
20781849,Luisa,25,Ribeirão das Neves,febre amarela
20782626,Hannah,84,Santa Luzia,cancer
