crm,rg,data,hora
4142,60073962,2024-01-31,23:30:53
2732,25367703,2024-12-14,20:20:06
3870,77375421,2024-07-27,01:24:51
5001,37662951,2024-12-22,01:59:24
5171,48062319,2024-02-06,21:53:20
3900,24863430,2024-03-16,17:41:34
5341,67129899,2024-05-05,12:22:28
1957,70173408,2024-09-12,20:47:33
1101,87283725,2024-02-09,16:50:30
2525,42262014,2024-03-09,16:56:09
5201,78113571,2024-08-26,18:23:19
2071,48075528,2024-12-20,04:59:11
3784,49164105,2024-02-07,18:26:42
2610,68565795,2024-05-02,13:47:44
3189,42655953,2024-06-13,01:36:57
1523,28085649,2024-05-24,21:56:07
4370,23038257,2024-11-17,22:47:24
1344,68656704,2024-08-10,07:03:21
3404,83982252,2024-06-06,10:50:47
2579,39108948,2024-10-19,10:53:21
2311,93134535,2024-05-23,21:38:48
5251,73359108,2024-05-31,00:11:50
3543,29403441,2024-05-07,09:01:04
1723,21186666,2024-08-21,10:20:17
1892,58173420,2024-03-14,15:58:29
2060,40770174,2024-10-15,22:14:40
2470,72099591,2024-11-04,12:18:24
3022,89158626,2024-05-11,08:04:40
3778,72757710,2024-02-16,14:19:39
1054,96652791,2024-09-07,09:10:50
2912,28903830,2024-11-05,09:45:00
4790,56915457,2024-01-13,07:45:41
2823,86017215,2024-10-27,01:02:05
5664,23835459,2024-09-19,06:44:16
2448,78872700,2024-08-28,22:29:06
2864,75991584,2024-07-17,14:31:38
5509,96714174,2024-08-21,17:33:07
2330,33490461,2024-05-16,05:48:04
3011,89609286,2024-10-23,07:28:51
4709,97252635,2024-11-06,00:04:31
1830,35712681,2024-02-24,11:13:48
3420,75960504,2024-08-15,17:51:37
3806,81767025,2024-11-29,04:55:09
2915,47296197,2024-02-21,04:51:42
3164,47725101,2024-02-27,03:15:18
5630,97593738,2024-07-21,06:54:06
3391,50427507,2024-12-19,17:09:48
1213,95626374,2024-02-25,23:42:12
2788,50045223,2024-11-23,09:00:19
1028,29456277,2024-06-11,11:27:33
1041,62996259,2024-08-20,11:59:34
1628,77338902,2024-03-16,09:04:49
3008,37328064,2024-06-09,12:40:01
2445,55986942,2024-01-16,23:41:03
3994,46140798,2024-06-18,22:52:31
1953,43967529,2024-11-22,04:12:42
1541,73388634,2024-12-14,07:16:50
4107,34989294,2024-04-25,16:55:17
2567,22401894,2024-01-04,00:41:08
2838,81172620,2024-09-12,17:30:24
4989,21272136,2024-07-22,15:21:32
4838,55317168,2024-11-16,02:05:09
3827,64279086,2024-07-29,08:30:08
3936,46417410,2024-05-12,18:40:50
4427,45489672,2024-04-20,21:13:31
3268,33310197,2024-08-21,17:09:43
4451,44864964,2024-05-14,22:02:05
4838,35321850,2024-02-28,08:21:54
3570,25763196,2024-09-01,16:51:11
3141,45454707,2024-11-10,20:30:15
4597,68893689,2024-11-01,02:42:19
3336,66970614,2024-05-09,13:29:54
1013,96709512,2024-01-26,16:24:18
3489,53450814,2024-06-01,13:03:40
2825,26402667,2024-12-12,09:46:14
1867,94666002,2024-02-20,21:41:50
2490,27805152,2024-01-21,05:16:51
2037,35676939,2024-10-25,13:38:57
2514,31553400,2024-06-02,15:16:45
1400,87621720,2024-04-08,07:17:03
5444,43469472,2024-10-07,13:22:41
1146,58875828,2024-10-19,11:34:42
1912,93038187,2024-08-15,07:00:17
4102,78526158,2024-07-05,03:46:02
1250,96822177,2024-06-07,21:51:44
5098,83900667,2024-02-13,19:50:40
4607,71453127,2024-11-10,06:53:18
1213,31095747,2024-12-20,05:22:10
1376,40493562,2024-06-29,07:10:04
3740,46564263,2024-01-20,22:06:35
4474,92838498,2024-08-05,05:29:00
5955,26658300,2024-07-08,11:46:36
1873,43399542,2024-03-12,12:43:40
1155,23373144,2024-09-28,03:25:38
4378,79010229,2024-07-08,11:13:33
1777,25400337,2024-02-05,01:36:05
2789,48398760,2024-06-05,02:11:15
2574,89580537,2024-08-04,05:32:28
3192,45028911,2024-08-21,08:13:54
4971,97337328,2024-08-30,05:37:33
1423,90573543,2024-03-24,19:11:50
4813,47021916,2024-06-10,09:01:48
5342,84988467,2024-09-26,22:15:37
1134,39157122,2024-09-28,15:51:46
5092,59110482,2024-12-05,21:41:31
4312,72182730,2024-10-05,10:19:56
3388,69531606,2024-01-01,13:45:37
4011,62342802,2024-04-26,01:39:22
4112,39189756,2024-01-05,19:03:32
5616,75812874,2024-08-17,08:09:10
1699,85441458,2024-08-26,04:35:01
1129,84720402,2024-08-30,01:38:17
4066,47173431,2024-08-29,15:32:34
4122,27305541,2024-11-02,04:54:24
4644,25422093,2024-11-06,11:33:46
1295,78760035,2024-05-28,09:11:56
5186,44991615,2024-02-17,10:44:02
2577,62457798,2024-06-23,00:27:15
1052,26554959,2024-08-07,16:57:24
3739,80346669,2024-03-31,20:42:30
5685,62377767,2024-07-03,10:31:56
5964,47601558,2024-04-03,08:20:46
4984,23809041,2024-06-09,13:24:57
5877,49150119,2024-02-18,08:15:15
1948,39777168,2024-03-21,11:56:06
2470,28527762,2024-07-07,04:45:20
2436,48609327,2024-07-09,05:59:21
2186,21965997,2024-11-04,17:23:44
2353,68946525,2024-01-19,17:30:08
5564,63979164,2024-07-06,10:00:33
4846,28408104,2024-06-14,03:52:48
5136,82158633,2024-02-19,11:12:18
3348,60986937,2024-07-29,18:54:47
1315,59797350,2024-08-02,07:01:38
1169,65352900,2024-12-09,16:57:11
2603,45815235,2024-04-23,08:44:06
1523,86007114,2024-01-05,00:11:25
5570,46371567,2024-01-10,10:00:30
1457,78949623,2024-01-27,23:12:46
4199,58054539,2024-02-08,02:40:27
1194,92913867,2024-10-30,01:50:21
3617,81069279,2024-11-01,10:51:50
1172,73285293,2024-09-10,00:20:28
4456,50317950,2024-03-30,13:56:10
5967,40055334,2024-02-23,05:11:52
1919,80867259,2024-02-13,06:52:28
1592,65835417,2024-07-19,18:30:14
1434,37325733,2024-11-11,07:41:38
5085,64842411,2024-01-13,05:26:38
5299,63188955,2024-11-29,10:36:18
2976,71138442,2024-12-25,07:57:05
1793,24431418,2024-01-27,11:38:02
5090,52007925,2024-05-17,20:20:52
3202,68128344,2024-11-24,07:45:43
3569,41855643,2024-02-22,09:40:46
4520,89669892,2024-08-29,10:55:24
4141,25026600,2024-03-27,09:58:31
2342,80850165,2024-04-07,09:37:21
4905,49564260,2024-09-05,03:57:12
5892,97408812,2024-03-12,12:33:37
5430,90222339,2024-03-23,07:20:38
5280,34472589,2024-10-08,06:16:42
4319,72106584,2024-04-17,00:51:43
2060,59670699,2024-08-07,11:37:09
4391,35077872,2024-11-24,23:40:36
3750,28786503,2024-03-08,16:16:57
2646,50877390,2024-09-16,10:27:54
2683,68604645,2024-02-12,12:24:19
3711,62063859,2024-05-26,15:07:59
5447,28688601,2024-12-28,20:41:20
3196,91021095,2024-11-25,02:42:32
3716,24836235,2024-03-02,20:03:34
3160,54593781,2024-11-24,20:14:29
4323,91816743,2024-05-23,13:55:20
3225,79490415,2024-05-15,18:50:48
3532,41879730,2024-09-12,10:38:00
3934,96407259,2024-04-08,12:05:30
3640,78202149,2024-05-27,01:20:26
1718,66031998,2024-11-14,01:19:37
3195,70968279,2024-03-03,14:38:01
3912,73731291,2024-06-09,02:12:45
3823,59683131,2024-09-04,21:00:39
4086,32064666,2024-11-05,20:36:39
4997,53708001,2024-06-16,13:35:05
2155,22424427,2024-11-08,10:43:45
1885,48493554,2024-12-14,17:23:51
5846,68483433,2024-12-28,15:13:08
3468,53097279,2024-05-17,05:57:22
4378,89121330,2024-08-24,17:09:24
5124,54023463,2024-10-15,05:24:37
1678,59519961,2024-09-06,14:35:01
3310,45767838,2024-11-11,10:42:47
2511,54379329,2024-03-08,07:13:26
1056,88725837,2024-03-15,08:51:49
4821,58293078,2024-07-26,19:39:08
4178,88212240,2024-11-21,19:12:30
3837,84513720,2024-10-11,13:03:01
1252,76746051,2024-08-23,20:09:29
4492,84450006,2024-11-06,00:29:16
1796,22473378,2024-02-19,14:35:58
4049,49039785,2024-09-19,21:29:18
2098,92369967,2024-12-04,22:30:38
3426,64480329,2024-12-29,12:10:27
1844,26655969,2024-12-22,15:52:50
4845,50795805,2024-01-18,10:00:05
1831,73523832,2024-05-11,19:19:31
5321,23422872,2024-03-09,13:53:49
2617,67218477,2024-09-25,02:43:58
1857,28285338,2024-02-12,11:29:30
1726,70617852,2024-04-18,16:35:39
3179,92781777,2024-03-28,13:56:19
1850,67944972,2024-01-18,21:08:14
1232,54373113,2024-01-13,23:53:44
5971,68747613,2024-07-09,21:26:46
4037,57992379,2024-06-17,08:20:08
2765,82805874,2024-04-17,10:27:28
5784,28595361,2024-07-04,14:46:49
2326,66066186,2024-11-28,11:32:26
2032,33001728,2024-01-06,00:30:09
3968,65934096,2024-06-15,14:36:22
4609,42112053,2024-03-27,10:24:21
1944,48147012,2024-11-01,10:36:19
4661,44379339,2024-10-09,23:58:46
4511,81161742,2024-08-08,18:04:46
4904,38908482,2024-09-04,11:58:58
4437,48296196,2024-12-31,12:14:36
5279,35202192,2024-09-13,07:33:58
4823,75056853,2024-09-27,07:32:58
3177,64188954,2024-09-15,09:52:39
1124,62624076,2024-03-23,20:49:48
1041,51560373,2024-01-29,10:12:24
3249,27708804,2024-03-09,21:59:31
1125,91342773,2024-06-15,11:06:28
2020,24013392,2024-09-16,09:38:19
3421,32411985,2024-12-03,03:15:46
3901,86389398,2024-04-23,06:17:19
3267,68689338,2024-07-02,19:03:59
3943,82303155,2024-08-30,00:19:00
1145,22039035,2024-08-31,09:18:13
5964,39727440,2024-12-29,18:54:31
4672,84941070,2024-03-07,04:24:36
2848,57733638,2024-04-22,05:38:06
1221,83174172,2024-08-22,03:18:17
3300,37687815,2024-07-15,19:21:13
2461,79604634,2024-10-17,12:35:24
3656,65917002,2024-01-27,20:19:27
3529,55721208,2024-03-10,00:25:41
1979,45027357,2024-11-01,16:28:04
5251,76072392,2024-07-11,22:03:57
1290,41200632,2024-11-19,22:14:55
1162,71112024,2024-03-09,12:32:27
4804,40227051,2024-09-24,13:59:23
3989,21555741,2024-05-08,09:38:37
5167,34272123,2024-12-08,07:49:20
4158,93822957,2024-04-23,09:21:16
1965,94692420,2024-12-19,19:36:05
2528,28321857,2024-05-06,18:48:35
4004,73623288,2024-01-07,15:47:21
3807,69379314,2024-10-12,20:48:49
5125,89367639,2024-11-02,23:33:04
1043,23266695,2024-10-23,12:38:53
4751,80693988,2024-05-04,01:41:46
5280,32279118,2024-12-16,21:32:56
5041,26377026,2024-03-09,06:36:29
5013,83577435,2024-11-17,23:35:40
3067,44227047,2024-10-23,00:54:53
2193,76884357,2024-09-14,07:23:05
1844,84695538,2024-02-02,16:39:04
1078,57313281,2024-02-17,17:51:00
3000,48191301,2024-05-29,08:06:18
1176,78846282,2024-12-17,03:35:55
5082,33384789,2024-05-23,03:53:04
2731,49293087,2024-01-06,20:26:06
1341,21221631,2024-07-22,00:39:01
1089,94819071,2024-08-31,13:22:39
1744,45309408,2024-03-31,01:18:17
1060,83153193,2024-11-22,20:22:13
5473,85714962,2024-08-04,14:18:28
1126,63282195,2024-06-28,14:40:25
3443,36454716,2024-09-30,00:14:09
4321,26377026,2024-04-02,15:49:45
5588,78615513,2024-03-04,00:02:59
3286,71402622,2024-08-14,13:40:12
4627,40260462,2024-06-23,23:25:13
1775,49723545,2024-11-28,15:49:50
3070,39273672,2024-04-19,14:18:51
2382,73634166,2024-08-28,00:02:04
4165,91678437,2024-09-23,07:37:14
1350,36184320,2024-08-29,13:41:15
2668,46857969,2024-10-22,05:25:01
1739,66425937,2024-06-14,11:28:33
4731,50860296,2024-07-17,09:38:20
1065,90849378,2024-03-28,14:45:13
3220,24268248,2024-05-26,13:18:31
1555,48312513,2024-10-22,06:18:08
5737,65247228,2024-10-07,00:03:28
4338,93107340,2024-05-13,18:58:30
3056,41484237,2024-09-27,17:04:37
3975,60293076,2024-01-03,09:33:56
1607,63774813,2024-05-14,21:30:04
1942,83636487,2024-01-11,23:04:47
5681,41141580,2024-06-19,05:53:14
2423,20470272,2024-08-13,00:44:08
2882,42893715,2024-05-12,05:01:06
1146,74435253,2024-03-17,00:27:32
2368,40262793,2024-12-22,18:29:39
2567,72128340,2024-11-03,16:29:00
5929,96317127,2024-01-12,15:57:12
4260,32917812,2024-07-24,13:21:11
4413,53080962,2024-08-02,15:47:03
2713,30529314,2024-11-02,18:20:55
4107,31124496,2024-09-07,03:48:39
2346,36286107,2024-04-09,03:10:37
5040,61941093,2024-01-27,03:23:07
5978,51410412,2024-03-05,18:37:05
1741,27282231,2024-01-12,19:48:44
3351,79714191,2024-12-18,14:06:36
2522,96434454,2024-06-15,07:45:40
1026,86031978,2024-05-21,11:42:29
2861,84470985,2024-03-30,21:18:10
4512,80990025,2024-11-14,04:01:33
5282,40049118,2024-02-21,16:06:23
5000,67697109,2024-08-12,03:35:23
5254,41511432,2024-05-31,21:10:18
1482,38091855,2024-10-17,04:59:38
4248,87658239,2024-04-01,01:04:39
5529,26282232,2024-03-14,17:49:56
4317,47359911,2024-12-04,03:56:47
4328,78260424,2024-11-12,03:19:06
2167,46872732,2024-01-26,23:40:58
1664,83660574,2024-02-11,11:31:55
1612,76608522,2024-08-25,13:55:33
1736,29903829,2024-09-08,09:10:48
3117,65591439,2024-11-05,08:14:32
5695,25160244,2024-07-08,23:59:54
4362,32109732,2024-06-27,18:25:36
3632,62451582,2024-10-10,15:21:37
2232,22641210,2024-06-10,21:55:06
4757,27463272,2024-03-08,00:08:33
1943,33847881,2024-08-20,17:52:32
5323,47515311,2024-01-24,17:01:08
4552,55314060,2024-02-06,02:55:34
5344,40268232,2024-05-04,04:18:26
5413,66070848,2024-04-07,05:02:34
2646,27451617,2024-07-07,04:58:41
2174,59886705,2024-02-03,01:19:31
5052,52252680,2024-11-09,20:38:41
1761,86063835,2024-09-15,23:51:42
3557,34313304,2024-05-23,05:22:29
3785,49158666,2024-12-11,23:52:18
1417,38528529,2024-02-18,05:47:09
5074,70826088,2024-03-31,23:50:53
3230,93937176,2024-12-13,04:52:55
2361,92091024,2024-05-30,07:27:58
4942,44440722,2024-09-10,23:57:40
2781,24422871,2024-02-28,11:40:34
5018,30990852,2024-04-29,16:02:28
3652,66574344,2024-04-26,05:31:04
3804,76679229,2024-07-25,11:02:58
1826,85785669,2024-07-16,16:20:54
3587,52639626,2024-05-29,02:47:06
2579,92352096,2024-11-14,04:41:01
1553,64941090,2024-06-10,19:59:28
5958,26026599,2024-07-15,16:48:32
3553,29398002,2024-04-21,08:47:58
2379,42401097,2024-05-09,05:30:45
5777,90223893,2024-11-22,19:51:00
3423,30331956,2024-09-02,07:38:26
4248,21415881,2024-04-04,07:10:53
5144,75931755,2024-08-19,00:39:05
3533,91791879,2024-07-12,16:21:54
5412,41087190,2024-07-16,23:15:08
2262,86666787,2024-04-21,00:10:23
3664,68341242,2024-10-27,09:44:23
5786,34917810,2024-09-22,13:54:02
5142,55299297,2024-01-02,20:43:33
2427,66888252,2024-06-30,03:00:12
4540,97579752,2024-04-27,22:28:24
3384,29345943,2024-04-13,05:59:33
4946,45150123,2024-01-21,01:16:34
1141,56219265,2024-08-16,17:41:49
1581,65025783,2024-06-12,12:13:37
3330,79872699,2024-06-15,22:32:56
2435,93160953,2024-07-11,08:58:02
1449,79214580,2024-06-01,18:28:50
3259,76801995,2024-09-11,23:17:13
5971,24790392,2024-07-04,00:27:08
3078,52847085,2024-09-07,02:18:00
5083,47265894,2024-03-16,23:31:55
2601,29786502,2024-02-09,13:01:33
3876,78969825,2024-03-29,13:13:33
1053,59545602,2024-10-07,20:29:50
1726,28285338,2024-07-21,20:44:26
5531,89979138,2024-02-25,20:42:25
5481,32524650,2024-03-20,07:20:01
1196,29308647,2024-11-01,06:59:06
3170,95341215,2024-01-02,21:30:10
1857,69890580,2024-05-31,02:41:33
2702,21272913,2024-03-30,23:40:46
1894,92174163,2024-12-02,06:14:53
3516,75757707,2024-12-13,14:39:55
3475,82474095,2024-10-30,15:25:34
1010,35488128,2024-08-30,21:58:00
1453,63966732,2024-03-27,11:26:30
5114,89484966,2024-04-21,13:06:37
5684,79269747,2024-01-08,06:21:56
3422,42185868,2024-07-17,00:30:08
5829,21152478,2024-10-12,14:47:02
4666,83014887,2024-09-11,17:40:22
3839,96395604,2024-04-26,20:15:26
2058,65907678,2024-04-21,06:37:44
5542,35168781,2024-06-03,15:54:34
2550,70744503,2024-05-22,19:53:56
5412,65429823,2024-07-26,07:10:46
5811,69706431,2024-06-03,10:12:14
5112,35620995,2024-12-22,13:44:59
4108,38993952,2024-02-23,03:54:34
3286,91392501,2024-11-20,08:41:10
1559,33145473,2024-02-08,12:54:25
4718,83087148,2024-08-16,11:30:58
3048,38027364,2024-10-09,00:14:55
3172,96707958,2024-07-05,07:44:17
5375,65563467,2024-09-18,00:09:10
3573,63457797,2024-04-02,05:58:54
2840,42592239,2024-09-10,07:33:38
5696,91937178,2024-10-11,20:55:18
1332,75878142,2024-01-06,21:56:46
4590,46091847,2024-01-07,00:07:06
2405,49076304,2024-02-26,19:45:26
5898,25885185,2024-09-27,07:22:54
2235,30452391,2024-06-18,01:41:47
4399,33771735,2024-02-14,02:14:56
2938,82001679,2024-03-30,19:55:20
2190,75157863,2024-04-02,20:35:27
5843,31819911,2024-03-21,19:19:18
1156,43679262,2024-10-30,09:22:48
1627,77562678,2024-09-06,18:39:08
3221,24513780,2024-05-27,23:07:25
2483,23914713,2024-05-05,04:58:05
4687,93265071,2024-04-07,09:12:55
5090,20333520,2024-01-19,19:12:22
5517,40999389,2024-07-22,06:51:54
1757,55286088,2024-12-30,21:56:19
1474,34179660,2024-05-04,00:31:21
4433,37527753,2024-06-15,22:53:53
4625,49395651,2024-05-23,13:38:12
3467,51512199,2024-12-31,20:10:17
2193,47662164,2024-02-04,13:53:45
2165,49986171,2024-07-22,00:15:54
1262,69056082,2024-05-03,10:48:41
1599,87180384,2024-11-09,04:45:54
3760,66621741,2024-01-24,06:41:37
5227,59674584,2024-03-02,07:12:54
1576,24990858,2024-06-01,08:21:38
2650,33196755,2024-12-09,15:57:19
2587,93760020,2024-03-18,22:18:37
1308,26584485,2024-03-01,17:20:23
1313,89080926,2024-06-30,04:50:51
2013,29235609,2024-06-16,00:33:57
4440,79205256,2024-05-10,09:30:39
1831,87772458,2024-09-12,03:14:58
2357,92936400,2024-02-15,18:22:11
3879,41513763,2024-03-31,00:24:11
5569,54673035,2024-09-10,23:17:40
1368,27470265,2024-12-24,16:19:22
4659,54598443,2024-01-14,07:25:38
1946,51564258,2024-06-28,17:36:53
5009,70464006,2024-05-25,05:05:39
1164,60852516,2024-09-16,01:31:56
4801,23541753,2024-12-13,16:23:01
3256,36189759,2024-09-15,21:05:11
3246,56997819,2024-05-21,13:08:54
4258,60870387,2024-10-22,19:45:28
4493,72373095,2024-05-13,04:27:39
1820,27209193,2024-06-09,12:13:22
3697,95239428,2024-02-12,04:29:50
5489,79988472,2024-09-09,15:10:51
2107,36365361,2024-12-10,20:27:26
1200,52051437,2024-07-06,02:47:33
1414,25677726,2024-01-24,14:13:58
5714,64188177,2024-01-02,21:33:04
2356,69689337,2024-12-07,22:58:03
4251,53395647,2024-07-09,00:28:08
1882,84073161,2024-07-04,11:22:51
4681,40840881,2024-02-17,14:30:36
4891,58826877,2024-05-05,18:27:03
4704,83086371,2024-08-03,22:29:31
1879,91409595,2024-04-22,08:13:50
3555,36775617,2024-10-11,15:15:28
2877,74405727,2024-05-16,16:36:41
4682,49400313,2024-09-17,00:43:26
5327,69298506,2024-10-15,01:28:39
5489,27435300,2024-06-15,09:55:25
5344,35108952,2024-10-18,11:50:35
5227,92588304,2024-05-12,22:00:59
2414,64179630,2024-02-18,12:22:31
2782,27846333,2024-12-20,05:32:08
1598,84803541,2024-10-12,01:18:17
4436,23725902,2024-05-02,19:08:56
1601,56692458,2024-09-08,20:21:13
1513,69161754,2024-09-16,11:47:38
3808,51262782,2024-11-17,23:11:09
2257,42272892,2024-03-24,22:10:09
3801,20352168,2024-10-24,07:53:14
3883,37624101,2024-04-07,19:03:43
5094,29546409,2024-11-15,11:00:00
1930,78187386,2024-03-16,10:20:33
4136,53726649,2024-11-09,13:31:44
2308,79549467,2024-11-05,12:17:40
2399,50309403,2024-05-12,16:30:59
4587,26950452,2024-04-20,18:53:49
3156,22680060,2024-11-14,01:48:43
2838,35007165,2024-08-13,12:18:23
3752,34298541,2024-08-01,04:11:36
4476,42312519,2024-12-31,16:27:25
2266,94146966,2024-03-26,06:28:00
2855,39713454,2024-12-25,15:54:33
4116,34939566,2024-09-19,08:51:40
5812,26208417,2024-05-26,04:44:24
1492,38972973,2024-02-08,15:03:06
5846,95964369,2024-11-22,03:33:27
1299,53210721,2024-05-04,20:40:43
1724,44241810,2024-04-17,07:32:57
3019,64198278,2024-11-13,23:03:15
1918,27227841,2024-02-25,06:11:58
3682,58563474,2024-06-02,15:02:56
