crm,nome,idade,cidade,especialidade,numeroA
1033,Randall,1952-05-24,Contagem,Pediatra,781
1034,Leanora,1948-08-04,Contagem,Cirurgião,994
1035,Tressie,1973-05-10,Contagem,Neurologista,350
1036,Giles,1957-02-05,Santa Luzia,Pediatra,405
1037,Anson,1979-07-26,Belo Horizonte,Dermatologista,947
1038,Pauline,1970-04-17,Santa Luzia,Dermatologista,772
1039,John,1981-10-15,Contagem,Cardiologista,269
1040,Faye,1989-02-08,Betim,Cardiologista,728
1041,Maude,1959-08-16,Santa Luzia,Neurologista,140
1042,India,1952-07-25,Betim,Ortopedista,753
1043,Vernia,1983-04-20,Betim,Pediatra,730
1044,Rutherford,1946-02-07,Ribeirão das Neves,Cardiologista,311
1045,Paulina,1970-06-10,Contagem,Cirurgião,932
1046,Ruth,1971-04-29,Santa Luzia,Ortopedista,385
1047,Spence,1970-05-16,Betim,Cirurgião,764
1048,Tellie,1972-06-01,Ribeirão das Neves,Neurologista,740
1049,Estell,1985-10-22,Contagem,Neurologista,168
1050,Zula,1951-04-12,Santa Luzia,Neurologista,1
1051,Othelia,1991-01-20,Santa Luzia,Dermatologista,390
1052,Tellie,1947-05-13,Ribeirão das Neves,Ortopedista,101
1053,Audley,1976-08-07,Contagem,Dermatologista,420
1054,Elsa,1950-07-28,Santa Luzia,Cardiologista,58
1055,Cleda,1983-10-31,Contagem,Cardiologista,468
1056,Genevieve,1969-01-04,Ribeirão das Neves,Dermatologista,522
1057,Earle,1990-02-02,Ribeirão das Neves,Dermatologista,773
1058,Dean,1996-12-03,Contagem,Pediatra,311
1059,Cary,1951-04-26,Santa Luzia,Pediatra,808
1060,Zaidee,1977-03-23,Belo Horizonte,Neurologista,383
1061,Treva,1947-08-10,Contagem,Dermatologista,533
1062,Bula,1944-09-03,Santa Luzia,Neurologista,620
1063,Thos,1946-02-24,Contagem,Dermatologista,529
1064,Ephriam,1960-05-10,Ribeirão das Neves,Pediatra,828
1065,Iver,1965-02-10,Ribeirão das Neves,Cardiologista,845
1066,Gladyce,1965-09-03,Belo Horizonte,Pediatra,527
1067,Chesley,1984-06-20,Belo Horizonte,Pediatra,106
1068,Stuart,1978-06-23,Contagem,Ortopedista,739
1069,Mabel,1972-06-01,Ribeirão das Neves,Cardiologista,977
1070,Macy,1984-09-25,Santa Luzia,Dermatologista,379
1071,Gregorio,1972-09-13,Belo Horizonte,Dermatologista,944
1072,Dennie,1996-09-24,Santa Luzia,Dermatologista,929
1073,Harrison,1995-11-14,Ribeirão das Neves,Dermatologista,804
1074,Katie,1967-12-01,Ribeirão das Neves,Cirurgião,692
1075,Vernie,1987-06-29,Santa Luzia,Dermatologista,31
1076,Luciel,1992-10-20,Betim,Pediatra,321
1077,Celeste,1984-01-27,Betim,Dermatologista,611
1078,Newton,1946-02-16,Ribeirão das Neves,Cirurgião,70
1079,Margret,1944-05-04,Betim,Dermatologista,638
1080,Mitchel,1996-04-20,Ribeirão das Neves,Pediatra,966
1081,Faye,1958-10-31,Belo Horizonte,Ortopedista,226
1082,Louisa,1984-04-18,Betim,Dermatologista,921
1083,Ester,1969-06-17,Contagem,Dermatologista,218
1084,Dwight,1956-03-30,Betim,Ortopedista,412
1085,Bose,1986-05-05,Betim,Neurologista,17
1086,Boyd,1987-02-02,Betim,Dermatologista,879
1087,Elzadie,1957-07-06,Santa Luzia,Pediatra,975
1088,Celina,1962-01-01,Contagem,Neurologista,785
1089,Jonah,1992-12-08,Santa Luzia,Pediatra,279
1090,Cordie,1986-04-22,Ribeirão das Neves,Dermatologista,555
1091,Sophie,1989-01-14,Ribeirão das Neves,Cirurgião,322
1092,Cassius,1995-08-14,Contagem,Cardiologista,1000
1093,Nels,1998-05-20,Ribeirão das Neves,Ortopedista,716
1094,Oda,1975-06-03,Betim,Dermatologista,325
1095,Raymond,1945-07-07,Contagem,Cardiologista,624
1096,Emory,1974-01-23,Santa Luzia,Cirurgião,850
1097,Alla,1959-06-22,Contagem,Cardiologista,947
1098,Merna,1988-02-04,Ribeirão das Neves,Pediatra,774
1099,Melvina,1983-10-16,Belo Horizonte,Dermatologista,349
1100,Otis,1983-12-04,Contagem,Ortopedista,911
1101,Gaye,1947-01-16,Belo Horizonte,Ortopedista,502
1102,Drusilla,1962-12-19,Santa Luzia,Pediatra,950
1103,Hattie,1954-11-17,Ribeirão das Neves,Neurologista,309
1104,Adrian,1972-06-22,Ribeirão das Neves,Dermatologista,398
1105,Herbert,1976-01-29,Belo Horizonte,Pediatra,363
1106,Hal,1997-04-29,Belo Horizonte,Neurologista,887
1107,Verne,1986-08-09,Betim,Ortopedista,697
1108,Sophia,1977-09-28,Betim,Cirurgião,880
1109,Clytie,1994-01-02,Betim,Pediatra,375
1110,Charlene,1980-05-03,Belo Horizonte,Cardiologista,495
1111,Raphael,1989-05-16,Contagem,Cirurgião,287
1112,Deette,1964-11-15,Belo Horizonte,Pediatra,762
1113,Doreatha,1976-05-17,Belo Horizonte,Cirurgião,357
1114,Vessie,1981-08-05,Santa Luzia,Ortopedista,612
1115,Bernard,1995-10-05,Betim,Cardiologista,115
1116,Drusilla,1948-01-27,Betim,Dermatologista,735
1117,Valeria,1992-04-29,Belo Horizonte,Dermatologista,135
1118,Vern,1981-11-17,Belo Horizonte,Ortopedista,464
1119,Douglas,1993-03-11,Ribeirão das Neves,Cirurgião,397
1120,Armand,1984-03-27,Betim,Neurologista,841
1121,Lorin,1996-11-12,Santa Luzia,Neurologista,550
1122,Nita,1958-08-26,Betim,Neurologista,791
1123,Darcus,1955-02-15,Ribeirão das Neves,Pediatra,115
1124,Cleve,1971-11-16,Betim,Neurologista,954
1125,Sadye,1954-03-05,Ribeirão das Neves,Neurologista,514
1126,Ara,1966-11-24,Santa Luzia,Pediatra,328
1127,Noble,1984-06-30,Santa Luzia,Neurologista,104
1128,Bruno,1946-06-07,Contagem,Ortopedista,862
1129,Arla,1979-08-06,Belo Horizonte,Ortopedista,265
1130,Cathleen,1969-10-02,Ribeirão das Neves,Cardiologista,534
1131,Wilber,1961-01-05,Ribeirão das Neves,Cirurgião,786
1132,Marie,1955-09-06,Contagem,Cirurgião,622
1133,Bedford,1944-08-21,Betim,Dermatologista,873
1134,Jones,1955-09-08,Ribeirão das Neves,Cirurgião,649
1135,Mathilde,1961-02-22,Contagem,Cirurgião,318
1136,Priscilla,1978-03-10,Belo Horizonte,Pediatra,159
1137,Bertrand,1975-12-25,Belo Horizonte,Neurologista,623
1138,Lavina,1976-07-28,Betim,Ortopedista,614
1139,Joy,1960-10-21,Santa Luzia,Ortopedista,710
1140,Zona,1964-11-15,Betim,Neurologista,418
1141,Huldah,1974-12-24,Contagem,Pediatra,866
1142,Georgia,1977-08-04,Betim,Cardiologista,385
1143,Emmer,1956-10-11,Contagem,Cardiologista,514
1144,Elihu,1998-04-27,Belo Horizonte,Cardiologista,731
1145,Rayfield,1954-08-04,Betim,Pediatra,888
1146,Oma,1965-09-29,Belo Horizonte,Ortopedista,178
1147,Selina,1949-10-08,Ribeirão das Neves,Cirurgião,490
1148,Theo,1962-08-02,Contagem,Dermatologista,232
1149,Jessamine,1987-11-05,Contagem,Cirurgião,371
1150,Ura,1960-03-21,Contagem,Pediatra,831
1151,Gay,1994-08-26,Santa Luzia,Ortopedista,376
1152,Ross,1992-09-28,Betim,Cardiologista,621
1153,Eston,1965-12-10,Belo Horizonte,Cardiologista,705
1154,Ples,1947-12-30,Ribeirão das Neves,Cirurgião,401
1155,Charity,1983-12-28,Belo Horizonte,Pediatra,830
1156,Vicente,1951-01-27,Contagem,Ortopedista,841
1157,Adelaide,1976-09-02,Betim,Cirurgião,841
1158,Tomas,1989-01-25,Belo Horizonte,Cirurgião,123
1159,Elias,1944-03-28,Betim,Cirurgião,767
1160,Drusilla,1952-04-15,Betim,Pediatra,260
1161,Eartha,1957-04-03,Ribeirão das Neves,Ortopedista,637
1162,Rosabelle,1982-05-30,Contagem,Pediatra,193
1163,Elmer,1968-03-18,Contagem,Dermatologista,530
1164,Clide,1958-04-23,Betim,Cardiologista,77
1165,Sylvania,1947-08-13,Contagem,Pediatra,814
1166,Almira,1969-10-07,Betim,Cardiologista,20
1167,Virginia,1961-08-22,Belo Horizonte,Ortopedista,150
1168,Dorsey,1986-07-16,Santa Luzia,Dermatologista,189
1169,Anton,1993-05-29,Santa Luzia,Cirurgião,281
1170,Ruthie,1945-02-10,Santa Luzia,Dermatologista,899
1171,Dee,1979-03-24,Betim,Cardiologista,644
1172,Walton,1951-05-14,Ribeirão das Neves,Cirurgião,827
1173,Hetty,1973-04-24,Ribeirão das Neves,Cardiologista,243
1174,Vesta,1959-07-11,Belo Horizonte,Cirurgião,456
1175,Maureen,1965-07-30,Ribeirão das Neves,Neurologista,811
1176,Johnnie,1993-10-15,Betim,Dermatologista,628
1177,Hester,1973-10-06,Betim,Neurologista,242
1178,Melinda,1964-09-15,Ribeirão das Neves,Dermatologista,441
1179,Johnie,1990-12-28,Betim,Cirurgião,76
1180,Earl,1993-10-28,Belo Horizonte,Cirurgião,373
1181,Winifred,1945-08-13,Betim,Dermatologista,848
1182,Violet,1961-10-26,Ribeirão das Neves,Cirurgião,283
1183,Vita,1995-03-17,Contagem,Cardiologista,915
1184,Ethyl,1947-06-18,Belo Horizonte,Cardiologista,611
1185,Beryl,1974-11-06,Betim,Ortopedista,393
1186,Lewis,1985-08-24,Belo Horizonte,Dermatologista,102
1187,Jeffie,1949-08-17,Contagem,Ortopedista,644
1188,Luster,1994-02-04,Betim,Pediatra,889
1189,Ozella,1997-07-04,Ribeirão das Neves,Pediatra,333
1190,Ina,1997-01-24,Belo Horizonte,Neurologista,645
1191,Tennie,1988-02-02,Belo Horizonte,Dermatologista,137
1192,Belvia,1969-12-07,Belo Horizonte,Pediatra,270
1193,Zadie,1963-02-04,Contagem,Dermatologista,622
1194,Lambert,1960-10-23,Betim,Dermatologista,807
1195,Sister,1970-03-21,Belo Horizonte,Pediatra,432
1196,Francisco,1964-05-09,Contagem,Ortopedista,762
1197,Christian,1956-11-24,Contagem,Ortopedista,800
1198,Rita,1947-01-30,Betim,Cardiologista,195
1199,Antonio,1971-09-28,Ribeirão das Neves,Pediatra,694
1200,Pennie,1990-06-19,Contagem,Ortopedista,513
1201,Ferdinand,1976-02-20,Santa Luzia,Ortopedista,375
1202,Nevada,1954-02-04,Belo Horizonte,Cardiologista,447
1203,Delores,1959-05-06,Belo Horizonte,Pediatra,492
1204,Drusilla,1995-01-09,Betim,Ortopedista,161
1205,Emmer,1946-05-17,Ribeirão das Neves,Ortopedista,257
1206,Nelia,1992-04-24,Santa Luzia,Dermatologista,751
1207,Dolores,1958-09-18,Contagem,Cardiologista,752
1208,Celestia,1973-07-19,Santa Luzia,Pediatra,20
1209,Dixie,1952-01-02,Contagem,Dermatologista,285
1210,Fred,1950-05-09,Contagem,Cirurgião,729
1211,Vertie,1952-11-11,Santa Luzia,Neurologista,478
1212,Caroline,1991-09-07,Belo Horizonte,Dermatologista,915
1213,Nila,1985-06-26,Contagem,Ortopedista,615
1214,Willow,1950-11-02,Betim,Neurologista,359
1215,Elva,1994-07-08,Contagem,Pediatra,559
1216,Cipriana,1998-05-14,Santa Luzia,Neurologista,814
1217,Peggy,1951-04-25,Belo Horizonte,Cardiologista,193
1218,Annabell,1950-03-28,Betim,Pediatra,390
1219,Domenick,1950-12-02,Ribeirão das Neves,Cirurgião,72
1220,Jeremiah,1965-06-11,Betim,Cardiologista,766
1221,Harlen,1946-08-16,Contagem,Pediatra,46
1222,Viola,1999-06-13,Betim,Cirurgião,911
1223,Lulla,1955-09-12,Contagem,Cardiologista,295
1224,Freeman,1953-10-17,Ribeirão das Neves,Dermatologista,176
1225,Leola,1980-10-24,Ribeirão das Neves,Dermatologista,234
1226,Hila,1978-12-26,Contagem,Dermatologista,403
1227,Florine,1968-05-11,Ribeirão das Neves,Neurologista,126
1228,Pedro,1956-04-09,Ribeirão das Neves,Neurologista,254
1229,Alva,1947-01-02,Ribeirão das Neves,Cardiologista,915
1230,Girlie,1961-01-19,Santa Luzia,Ortopedista,997
1231,Davis,1951-11-15,Contagem,Dermatologista,129
1232,Violette,1995-11-19,Ribeirão das Neves,Cirurgião,929
1233,Zilpha,1954-06-26,Belo Horizonte,Pediatra,214
1234,Margaretha,1995-01-28,Belo Horizonte,Pediatra,150
1235,Burdette,1959-10-29,Contagem,Cirurgião,206
1236,Hester,1981-02-18,Ribeirão das Neves,Ortopedista,458
1237,Rosalind,1997-07-07,Belo Horizonte,Ortopedista,932
1238,Duncan,1993-05-29,Ribeirão das Neves,Pediatra,274
1239,Theophile,1988-11-02,Santa Luzia,Cirurgião,715
1240,Randall,1958-12-30,Santa Luzia,Pediatra,258
1241,Margarite,1992-11-20,Belo Horizonte,Dermatologista,736
1242,Christie,1980-07-25,Ribeirão das Neves,Pediatra,769
1243,Sophronia,1947-06-17,Ribeirão das Neves,Ortopedista,888
1244,Vernice,1990-10-14,Belo Horizonte,Neurologista,190
1245,Alicia,1965-03-24,Contagem,Neurologista,24
1246,Redmond,1997-07-29,Belo Horizonte,Pediatra,207
1247,Luster,1962-07-08,Santa Luzia,Cirurgião,54
1248,Miguel,1974-06-17,Contagem,Neurologista,86
1249,Bishop,1983-03-16,Betim,Pediatra,660
1250,Katharine,1968-07-08,Ribeirão das Neves,Pediatra,186
1251,Eufemia,1944-12-20,Betim,Cirurgião,927
1252,Rex,1980-08-07,Contagem,Pediatra,134
1253,Zona,1983-03-20,Betim,Pediatra,510
1254,Frances,1988-01-20,Santa Luzia,Pediatra,407
1255,Lucille,1994-04-09,Belo Horizonte,Dermatologista,270
1256,Joann,1995-04-06,Ribeirão das Neves,Ortopedista,971
1257,Queen,1959-08-11,Belo Horizonte,Ortopedista,478
1258,Ena,1989-11-25,Contagem,Ortopedista,986
1259,Coletta,1957-08-19,Betim,Pediatra,945
1260,Wilma,1996-06-26,Betim,Cardiologista,141
1261,Alice,1952-03-21,Ribeirão das Neves,Cardiologista,439
1262,Bert,1982-12-01,Betim,Pediatra,146
1263,Leola,1969-07-20,Contagem,Dermatologista,186
1264,Bertha,1992-10-15,Belo Horizonte,Cardiologista,353
1265,Apolonia,1992-06-10,Contagem,Cirurgião,843
1266,Leontine,1945-10-20,Belo Horizonte,Dermatologista,305
1267,Lorenz,1994-02-24,Betim,Cardiologista,738
1268,Rowland,1949-12-30,Betim,Neurologista,2
1269,Guida,1987-07-14,Santa Luzia,Ortopedista,147
1270,Elton,1946-10-11,Santa Luzia,Neurologista,297
1271,Lawyer,1994-09-01,Betim,Ortopedista,990
1272,Vada,1989-04-19,Belo Horizonte,Neurologista,964
1273,Ola,1998-05-08,Santa Luzia,Dermatologista,108
1274,Rutha,1957-06-26,Contagem,Neurologista,109
1275,Merton,1952-09-25,Belo Horizonte,Cirurgião,957
1276,Ceil,1982-03-15,Santa Luzia,Ortopedista,4
1277,Genevieve,1987-03-06,Contagem,Pediatra,187
1278,Alice,1945-10-29,Contagem,Neurologista,611
1279,Walter,1981-03-01,Belo Horizonte,Dermatologista,609
1280,Carleton,1983-06-07,Ribeirão das Neves,Cardiologista,522
1281,Mose,1960-01-22,Ribeirão das Neves,Neurologista,871
1282,Axel,1988-09-29,Contagem,Cirurgião,186
1283,Son,1959-08-04,Belo Horizonte,Ortopedista,685
1284,Ed,1979-06-13,Betim,Pediatra,972
1285,Toy,1961-09-21,Ribeirão das Neves,Dermatologista,675
1286,Theo,1978-01-15,Betim,Neurologista,17
1287,Starling,1997-06-23,Contagem,Neurologista,155
1288,Major,1957-12-24,Ribeirão das Neves,Dermatologista,590
1289,Perry,1974-01-20,Santa Luzia,Dermatologista,640
1290,Eveline,1956-10-26,Ribeirão das Neves,Cardiologista,589
1291,Glessie,1985-06-30,Belo Horizonte,Pediatra,674
1292,Meryl,1971-08-07,Contagem,Neurologista,992
1293,Gillie,1950-09-22,Belo Horizonte,Ortopedista,251
1294,Rene,1945-11-28,Belo Horizonte,Cirurgião,888
1295,Arch,1973-01-05,Santa Luzia,Cirurgião,219
1296,Craig,1959-12-20,Betim,Cardiologista,373
1297,Mattie,1953-04-11,Santa Luzia,Cirurgião,635
1298,Verl,1988-05-13,Belo Horizonte,Dermatologista,740
1299,Goldye,1994-12-21,Santa Luzia,Ortopedista,315
1300,Tom,1984-09-19,Betim,Neurologista,667
1301,Romeo,1951-03-28,Belo Horizonte,Cirurgião,514
1302,Etter,1985-12-23,Betim,Dermatologista,718
1303,Brenda,1990-09-04,Betim,Cirurgião,209
1304,Jack,1970-07-24,Contagem,Neurologista,688
1305,Lenore,1998-03-01,Belo Horizonte,Pediatra,610
1306,Frieda,1970-11-07,Betim,Dermatologista,812
1307,Odie,1990-09-29,Betim,Cirurgião,332
1308,Francis,1988-04-11,Ribeirão das Neves,Cardiologista,90
1309,Roswell,1956-06-06,Betim,Cardiologista,264
1310,Antone,1963-01-04,Contagem,Cirurgião,253
1311,Emile,1993-01-08,Ribeirão das Neves,Dermatologista,814
1312,Virginia,1953-01-30,Contagem,Dermatologista,574
1313,Orville,1985-07-13,Contagem,Cirurgião,123
1314,Angus,1946-10-08,Santa Luzia,Pediatra,823
1315,Gena,1957-11-09,Ribeirão das Neves,Pediatra,294
1316,Lanora,1971-11-13,Ribeirão das Neves,Pediatra,986
1317,Olive,1982-07-13,Belo Horizonte,Neurologista,447
1318,Paula,1948-01-27,Contagem,Ortopedista,918
1319,Salvatore,1947-08-10,Santa Luzia,Pediatra,245
1320,Millicent,1944-10-02,Ribeirão das Neves,Cardiologista,149
1321,Ira,1997-02-07,Belo Horizonte,Cardiologista,219
1322,Theresa,1951-01-14,Betim,Neurologista,168
1323,Willette,1945-05-17,Ribeirão das Neves,Pediatra,503
1324,Arleen,1958-11-25,Santa Luzia,Cardiologista,768
1325,Zora,1958-08-31,Ribeirão das Neves,Dermatologista,629
1326,Besse,1963-03-29,Betim,Neurologista,790
1327,Lexie,1990-05-26,Ribeirão das Neves,Ortopedista,496
1328,Raleigh,1945-06-21,Belo Horizonte,Pediatra,55
1329,Robbie,1955-07-29,Betim,Cardiologista,938
1330,Elliott,1994-11-17,Contagem,Pediatra,51
1331,Florance,1987-04-04,Belo Horizonte,Dermatologista,120
1332,Theron,1949-07-16,Contagem,Pediatra,706
1333,Eudora,1964-12-06,Betim,Cirurgião,803
1334,Van,1991-04-02,Contagem,Cirurgião,838
1335,Seth,1990-04-24,Betim,Cardiologista,607
1336,Alvin,1987-02-01,Belo Horizonte,Neurologista,643
1337,Martha,1960-12-21,Santa Luzia,Ortopedista,182
1338,Virgil,1968-04-26,Contagem,Cardiologista,557
1339,Delmer,1956-03-20,Betim,Ortopedista,951
1340,Ever,1976-05-22,Ribeirão das Neves,Cirurgião,235
1341,Hoy,1949-09-20,Santa Luzia,Dermatologista,77
1342,Arvid,1963-03-04,Ribeirão das Neves,Cirurgião,355
1343,Elzy,1956-11-12,Betim,Pediatra,931
1344,Lempi,1970-09-12,Betim,Pediatra,870
1345,Freda,1998-12-23,Santa Luzia,Cirurgião,180
1346,Mariah,1979-08-04,Betim,Cardiologista,288
1347,Lonie,1995-02-14,Ribeirão das Neves,Pediatra,121
1348,Lynn,1992-04-25,Ribeirão das Neves,Ortopedista,276
1349,Santiago,1960-09-14,Santa Luzia,Cirurgião,853
1350,Russel,1946-12-28,Contagem,Cirurgião,590
1351,Corene,1952-05-21,Belo Horizonte,Pediatra,556
1352,Mercy,1998-09-30,Contagem,Ortopedista,784
1353,Carola,1978-03-08,Santa Luzia,Pediatra,706
1354,Kathrine,1945-10-16,Betim,Cardiologista,109
1355,Caleb,1948-06-19,Contagem,Dermatologista,398
1356,Donie,1972-09-26,Belo Horizonte,Pediatra,135
1357,Ferdinand,1963-11-08,Santa Luzia,Pediatra,760
1358,Lorean,1979-09-14,Santa Luzia,Pediatra,812
1359,James,1955-08-09,Ribeirão das Neves,Cirurgião,938
1360,Elizebeth,1975-03-16,Ribeirão das Neves,Pediatra,727
1361,Lucian,1971-02-26,Belo Horizonte,Ortopedista,352
1362,Arminta,1987-11-30,Belo Horizonte,Cirurgião,303
1363,Harper,1949-10-28,Belo Horizonte,Dermatologista,143
1364,Estie,1985-08-19,Betim,Ortopedista,503
1365,Byrd,1995-09-29,Contagem,Cardiologista,223
1366,Ned,1964-10-28,Betim,Cirurgião,23
1367,Byron,1978-01-03,Santa Luzia,Cardiologista,614
1368,Eugenia,1950-12-21,Contagem,Neurologista,402
1369,Letty,1951-08-26,Santa Luzia,Ortopedista,125
1370,Lena,1973-11-19,Santa Luzia,Cardiologista,144
1371,Florinda,1978-03-17,Belo Horizonte,Dermatologista,314
1372,Kathryn,1944-11-23,Betim,Cardiologista,971
1373,Lossie,1995-12-22,Contagem,Pediatra,34
1374,Olie,1950-10-17,Santa Luzia,Cardiologista,893
1375,Bruce,1974-04-03,Santa Luzia,Cirurgião,807
1376,Jeremiah,1956-08-04,Contagem,Pediatra,463
1377,Elfrieda,1991-01-20,Betim,Pediatra,894
1378,Ruel,1998-11-01,Santa Luzia,Cardiologista,865
1379,Arlean,1978-01-25,Ribeirão das Neves,Dermatologista,603
1380,Elzie,1969-09-27,Santa Luzia,Ortopedista,137
1381,Cardelia,1949-07-21,Santa Luzia,Neurologista,556
1382,Maybel,1978-05-08,Belo Horizonte,Dermatologista,497
1383,Sim,1969-05-28,Ribeirão das Neves,Ortopedista,682
1384,Henretta,1973-04-04,Betim,Cirurgião,450
1385,Sam,1970-10-31,Belo Horizonte,Cardiologista,378
1386,America,1966-01-28,Santa Luzia,Dermatologista,11
1387,Lindsey,1978-03-05,Ribeirão das Neves,Cirurgião,269
1388,Terry,1984-10-17,Belo Horizonte,Neurologista,429
1389,Anastacia,1987-07-18,Contagem,Cardiologista,494
1390,Clotilde,1999-11-23,Santa Luzia,Dermatologista,80
1391,Cecilia,1990-03-10,Belo Horizonte,Pediatra,447
1392,Daphne,1951-03-14,Ribeirão das Neves,Cirurgião,803
1393,Amie,1999-11-25,Belo Horizonte,Dermatologista,272
1394,Nelle,1980-05-23,Ribeirão das Neves,Neurologista,576
1395,Verdia,1964-12-27,Betim,Cardiologista,189
1396,Mittie,1973-03-28,Belo Horizonte,Pediatra,775
1397,Famie,1995-05-20,Ribeirão das Neves,Cardiologista,794
1398,Rhea,1947-05-27,Betim,Cardiologista,714
1399,Verlie,1983-09-13,Santa Luzia,Cardiologista,993
1400,Almeter,1944-01-28,Contagem,Ortopedista,135
1401,Emory,1963-10-04,Betim,Cirurgião,57
1402,Ballard,1980-02-11,Santa Luzia,Neurologista,755
1403,Tura,1999-04-01,Ribeirão das Neves,Ortopedista,125
1404,Adaline,1947-01-05,Betim,Cardiologista,691
1405,Lettie,1984-05-25,Betim,Cirurgião,661
1406,Byrdie,1955-09-15,Contagem,Pediatra,139
1407,Pecola,1968-01-31,Betim,Cardiologista,530
1408,Guiseppe,1994-06-19,Ribeirão das Neves,Pediatra,210
1409,Ethel,1963-04-19,Santa Luzia,Cirurgião,360
1410,Arthur,1945-08-23,Santa Luzia,Ortopedista,534
1411,Pasqualina,1965-08-10,Ribeirão das Neves,Cirurgião,331
1412,Green,1978-04-11,Belo Horizonte,Neurologista,259
1413,Lexie,1986-04-26,Ribeirão das Neves,Neurologista,326
1414,Golden,1961-01-07,Santa Luzia,Cardiologista,689
1415,Janie,1975-02-27,Belo Horizonte,Neurologista,30
1416,Santos,1967-12-21,Ribeirão das Neves,Neurologista,193
1417,Orlean,1946-11-04,Ribeirão das Neves,Cardiologista,619
1418,Arlie,1995-09-02,Ribeirão das Neves,Dermatologista,843
1419,Clarice,1948-03-27,Ribeirão das Neves,Ortopedista,969
1420,Eura,1955-10-21,Ribeirão das Neves,Neurologista,441
1421,Nealy,1958-09-29,Santa Luzia,Cirurgião,753
1422,Alene,1960-07-26,Belo Horizonte,Neurologista,116
1423,Myrle,1983-02-05,Contagem,Cardiologista,487
1424,Eleanor,1990-07-13,Betim,Ortopedista,176
1425,Julien,1951-08-17,Ribeirão das Neves,Cardiologista,703
1426,Maranda,1986-11-08,Contagem,Ortopedista,452
1427,Ena,1963-07-04,Contagem,Cirurgião,913
1428,Juliet,1970-12-17,Betim,Ortopedista,602
1429,Leafy,1969-05-08,Santa Luzia,Ortopedista,443
1430,Kathleen,1950-06-09,Belo Horizonte,Cardiologista,768
1431,Lester,1984-04-08,Santa Luzia,Ortopedista,196
1432,Pearlee,1989-08-01,Santa Luzia,Pediatra,400
1433,Georgianna,1960-09-18,Belo Horizonte,Pediatra,447
1434,Phoebe,1975-09-24,Betim,Cardiologista,444
1435,Whitney,1985-08-30,Contagem,Pediatra,591
1436,Katharine,1967-10-31,Contagem,Dermatologista,561
1437,Pearl,1959-12-22,Belo Horizonte,Neurologista,694
1438,Camille,1984-04-08,Ribeirão das Neves,Neurologista,762
1439,Indiana,1949-01-27,Ribeirão das Neves,Cardiologista,49
1440,Wilford,1965-07-30,Betim,Cardiologista,930
1441,Lilian,1963-10-25,Betim,Cardiologista,610
1442,Georgina,1985-12-23,Santa Luzia,Neurologista,220
1443,Ava,1958-09-18,Belo Horizonte,Neurologista,325
1444,Maud,1952-05-08,Contagem,Dermatologista,345
1445,Adlene,1977-06-25,Betim,Cardiologista,418
1446,Armella,1972-04-22,Contagem,Neurologista,83
1447,Garnett,1972-06-29,Ribeirão das Neves,Cardiologista,656
1448,Vernon,1978-05-07,Santa Luzia,Neurologista,917
1449,Brenda,1979-05-06,Belo Horizonte,Cardiologista,599
1450,Tacy,1976-04-22,Santa Luzia,Neurologista,83
1451,Leola,1948-05-04,Belo Horizonte,Dermatologista,553
