rg,nome,idade,cidade,salario
10705328,Fannie,1974-05-23,Ribeirão das Neves,1556.00
10705349,Savina,1983-08-15,Ribeirão das Neves,2133.00
10705370,Kate,1992-12-21,Ribeirão das Neves,1775.00
10705391,Jesse,1948-02-20,Santa Luzia,1395.00
10705412,Buelah,1990-03-26,Belo Horizonte,1841.00
10705433,Albertine,1971-03-28,Betim,2320.00
10705454,Lottie,1986-05-29,Santa Luzia,1927.00
10705475,Bessie,1992-07-24,Ribeirão das Neves,2096.00
10705496,Abraham,1954-07-30,Belo Horizonte,1911.00
10705517,Ludie,1990-06-06,Santa Luzia,2497.00
10705538,Ike,1987-08-12,Betim,1321.00
10705559,Hamilton,1989-09-07,Santa Luzia,1715.00
10705580,Loyola,1958-11-19,Santa Luzia,1569.00
10705601,Stellar,1949-06-29,Santa Luzia,1547.00
10705622,Oneita,1965-10-25,Betim,2180.00
10705643,Ota,1959-01-28,Ribeirão das Neves,1404.00
10705664,Kirby,1954-10-29,Belo Horizonte,1699.00
10705685,Lella,1953-08-13,Contagem,1311.00
10705706,Jim,1979-10-22,Ribeirão das Neves,2208.00
10705727,Clare,1963-01-29,Contagem,2286.00
10705748,Vinnie,1977-03-19,Betim,1927.00
10705769,Rebeca,1963-12-01,Contagem,1371.00
10705790,Rosebud,1981-08-23,Betim,1642.00
10705811,Eber,1964-04-18,Contagem,1840.00
10705832,Milly,1982-06-11,Ribeirão das Neves,1476.00
10705853,Levi,1946-03-18,Contagem,2249.00
10705874,Mathias,1968-08-29,Contagem,1425.00
10705895,Denton,1949-03-09,Ribeirão das Neves,1996.00
10705916,Theresia,1993-03-07,Contagem,1315.00
10705937,Lannie,1990-06-27,Santa Luzia,1744.00
10705958,Melvina,1997-08-25,Ribeirão das Neves,1420.00
10705979,Ernst,1962-05-16,Ribeirão das Neves,1540.00
10706000,Melba,1996-07-18,Belo Horizonte,2467.00
10706021,Lattie,1974-06-22,Betim,1938.00
10706042,Bennie,1993-03-31,Betim,2010.00
10706063,Gene,1986-06-29,Santa Luzia,2311.00
10706084,Anthony,1946-02-25,Betim,2150.00
10706105,Ellis,1946-01-22,Belo Horizonte,1624.00
10706126,Ann,1962-05-23,Betim,2185.00
10706147,Cullen,1944-01-22,Santa Luzia,1787.00
10706168,Einar,1949-12-19,Belo Horizonte,1987.00
10706189,Cordelia,1965-09-26,Santa Luzia,1310.00
10706210,Raoul,1961-06-16,Contagem,2146.00
10706231,Henriette,1970-10-18,Santa Luzia,2174.00
10706252,Charlena,1999-03-21,Betim,2452.00
10706273,Wright,1993-12-20,Santa Luzia,2373.00
10706294,Rita,1977-06-17,Santa Luzia,2206.00
10706315,Frederic,1955-09-06,Betim,1632.00
10706336,Burl,1968-07-11,Contagem,1805.00
10706357,Rosy,1995-07-25,Ribeirão das Neves,1919.00
10706378,Lucretia,1962-04-07,Ribeirão das Neves,1581.00
10706399,Matilde,1991-09-27,Contagem,2130.00
10706420,Alva,1969-04-19,Ribeirão das Neves,1341.00
10706441,Vollie,1979-10-01,Belo Horizonte,1758.00
10706462,Wilburn,1963-11-09,Contagem,1567.00
10706483,Ariel,1958-01-06,Santa Luzia,2319.00
10706504,Arra,1986-08-25,Santa Luzia,1314.00
10706525,Ona,1969-12-06,Contagem,1842.00
10706546,Leva,1962-12-06,Ribeirão das Neves,1578.00
10706567,Margeret,1974-06-06,Contagem,1999.00
10706588,Eunice,1988-03-01,Ribeirão das Neves,2268.00
10706609,Arvilla,1959-02-14,Belo Horizonte,2265.00
10706630,Tennessee,1969-05-07,Santa Luzia,1505.00
10706651,Conley,1947-11-05,Betim,1978.00
10706672,Willis,1952-03-30,Contagem,1339.00
10706693,Hope,1965-12-13,Ribeirão das Neves,1612.00
10706714,Elvena,1949-04-22,Santa Luzia,2024.00
10706735,Winona,1985-04-10,Contagem,1424.00
10706756,Dannie,1962-02-26,Ribeirão das Neves,2235.00
10706777,Graham,1985-07-31,Santa Luzia,1402.00
10706798,Octavia,1991-03-24,Contagem,1355.00
10706819,Iva,1982-07-06,Contagem,2414.00
10706840,Georgine,1956-06-16,Belo Horizonte,2435.00
10706861,Tena,1959-04-30,Ribeirão das Neves,2133.00
10706882,Rowland,1999-06-19,Betim,1727.00
10706903,Lucious,1970-04-21,Betim,1308.00
10706924,Manley,1946-09-01,Betim,1807.00
10706945,Cleve,1964-07-04,Contagem,2346.00
10706966,Daisy,1989-11-16,Santa Luzia,1806.00
10706987,Lawrence,1992-03-01,Belo Horizonte,2095.00
10707008,Colletta,1955-09-18,Santa Luzia,1920.00
10707029,Samual,1997-07-27,Betim,1546.00
10707050,Frederick,1975-06-14,Ribeirão das Neves,2402.00
10707071,Ila,1953-05-25,Santa Luzia,2112.00
10707092,Emmet,1999-07-29,Contagem,1518.00
10707113,Roberto,1969-07-13,Santa Luzia,2364.00
10707134,Teresita,1986-08-15,Contagem,2360.00
10707155,Augustine,1977-05-14,Belo Horizonte,1978.00
10707176,Fred,1998-04-01,Santa Luzia,2054.00
10707197,Juan,1952-07-06,Belo Horizonte,2258.00
10707218,Elodie,1990-01-25,Ribeirão das Neves,2043.00
10707239,Jenny,1955-12-19,Belo Horizonte,2369.00
10707260,Bryant,1966-06-27,Betim,2455.00
10707281,Isola,1968-01-12,Belo Horizonte,1582.00
10707302,Bessie,1971-02-16,Belo Horizonte,1619.00
10707323,Lockie,1956-09-03,Contagem,1710.00
10707344,Tillie,1988-05-04,Santa Luzia,2341.00
10707365,Philena,1959-07-27,Santa Luzia,2339.00
10707386,Ephraim,1986-08-26,Betim,1581.00
10707407,Rachael,1996-06-05,Contagem,1925.00
10707428,Billie,1965-08-17,Ribeirão das Neves,1795.00
10707449,Shelby,1953-02-24,Belo Horizonte,2347.00
10707470,Diana,1976-08-05,Ribeirão das Neves,1705.00
10707491,Ruben,1988-02-21,Santa Luzia,1471.00
10707512,Owen,1964-05-20,Belo Horizonte,1344.00
10707533,Gabe,1962-09-05,Betim,1559.00
10707554,Aurie,1976-02-21,Betim,2350.00
10707575,Alberta,1951-01-23,Ribeirão das Neves,1315.00
10707596,Idella,1997-01-25,Ribeirão das Neves,2322.00
10707617,Fronia,1964-11-12,Belo Horizonte,1570.00
10707638,Omie,1974-05-14,Contagem,2091.00
10707659,Sydney,1999-01-26,Belo Horizonte,1695.00
10707680,Toby,1961-08-08,Santa Luzia,2214.00
10707701,Lacey,1949-02-28,Betim,2020.00
10707722,Shelby,1998-04-16,Belo Horizonte,1506.00
10707743,Zena,1977-03-08,Contagem,2033.00
10707764,Saul,1995-03-16,Contagem,1869.00
10707785,Charlott,1963-04-10,Betim,1900.00
10707806,Alvis,1952-02-02,Contagem,1948.00
10707827,Beth,1980-06-05,Betim,1623.00
10707848,Debbie,1952-11-30,Santa Luzia,2253.00
10707869,Floy,1967-01-10,Betim,2139.00
10707890,Ena,1967-02-08,Belo Horizonte,2395.00
10707911,Kattie,1952-01-13,Ribeirão das Neves,1658.00
10707932,Nanie,1994-09-20,Belo Horizonte,1758.00
10707953,Lubertha,1998-05-07,Contagem,1969.00
10707974,Catarina,1959-05-07,Belo Horizonte,2080.00
10707995,Fredricka,1965-09-25,Belo Horizonte,2039.00
10708016,Tressa,1948-02-19,Ribeirão das Neves,2389.00
10708037,Juan,1957-10-29,Belo Horizonte,2206.00
10708058,Bina,1989-03-01,Contagem,1381.00
10708079,Norton,1997-02-28,Betim,2243.00
10708100,Pollie,1965-05-02,Contagem,2166.00
10708121,Margery,1978-01-27,Ribeirão das Neves,2114.00
10708142,Verta,1977-03-13,Santa Luzia,1870.00
10708163,Grady,1948-03-05,Contagem,2407.00
10708184,Nanie,1951-08-07,Betim,2471.00
10708205,Simon,1959-10-16,Betim,2172.00
10708226,Gerard,1993-04-28,Santa Luzia,1800.00
10708247,Arvilla,1957-05-20,Santa Luzia,1336.00
10708268,Alvena,1983-08-20,Ribeirão das Neves,2307.00
10708289,Hattie,1983-09-20,Ribeirão das Neves,1357.00
10708310,Maynard,1988-06-06,Betim,1490.00
10708331,Arthur,1985-08-05,Belo Horizonte,2171.00
10708352,Icy,1964-09-04,Santa Luzia,1850.00
10708373,Myrtle,1995-09-15,Belo Horizonte,2006.00
10708394,Ama,1962-05-19,Ribeirão das Neves,1828.00
10708415,Jamie,1983-08-26,Belo Horizonte,1463.00
10708436,Beatrice,1971-07-19,Santa Luzia,1581.00
10708457,Goldia,1989-04-27,Contagem,2434.00
10708478,Myron,1975-11-23,Ribeirão das Neves,1515.00
10708499,Edie,1971-07-19,Betim,1988.00
10708520,Grace,1959-03-26,Santa Luzia,1684.00
10708541,Tressie,1993-02-19,Betim,1732.00
10708562,Malcom,1978-06-11,Contagem,1755.00
10708583,Unknown,1952-02-01,Contagem,2325.00
10708604,Alonza,1977-06-21,Santa Luzia,2012.00
10708625,Ether,1950-11-07,Belo Horizonte,1746.00
10708646,Amelia,1980-10-16,Betim,1311.00
10708667,Calla,1976-01-20,Contagem,1683.00
10708688,Young,1970-03-29,Santa Luzia,2037.00
10708709,Vance,1975-01-11,Belo Horizonte,2312.00
10708730,Katy,1999-09-09,Santa Luzia,2220.00
10708751,Gary,1961-02-07,Santa Luzia,1925.00
10708772,Ransom,1986-01-10,Betim,1952.00
10708793,Eulah,1964-04-13,Betim,1402.00
10708814,Roxie,1992-06-17,Santa Luzia,1432.00
10708835,Montgomery,1952-12-13,Betim,2295.00
10708856,Gabriel,1957-12-09,Contagem,2204.00
10708877,Wanda,1951-02-06,Santa Luzia,2470.00
10708898,Agnes,1990-12-11,Santa Luzia,1583.00
10708919,Lake,1960-07-09,Ribeirão das Neves,1795.00
10708940,Clair,1968-06-27,Belo Horizonte,2042.00
10708961,Talmage,1944-12-13,Betim,2432.00
10708982,Alla,1976-03-23,Ribeirão das Neves,1813.00
10709003,Jesusa,1991-05-04,Betim,2290.00
10709024,Lillar,1998-08-01,Belo Horizonte,1449.00
10709045,Thaddeus,1945-03-18,Contagem,1457.00
10709066,Ovella,1997-04-22,Ribeirão das Neves,1712.00
10709087,Texanna,1969-09-10,Belo Horizonte,1841.00
10709108,Fidel,1945-09-07,Betim,1371.00
10709129,Lucy,1944-07-30,Belo Horizonte,2191.00
10709150,Texas,1945-02-24,Ribeirão das Neves,1806.00
10709171,Mariana,1967-03-05,Betim,2468.00
10709192,Marietta,1973-06-25,Santa Luzia,2172.00
10709213,Dulcie,1982-08-12,Belo Horizonte,2323.00
10709234,Olaf,1964-08-03,Belo Horizonte,1735.00
10709255,Ozzie,1977-04-16,Contagem,2354.00
10709276,Lawerence,1988-09-16,Santa Luzia,1325.00
10709297,Florencia,1992-03-30,Santa Luzia,1551.00
10709318,Lester,1994-06-01,Ribeirão das Neves,1987.00
10709339,Lollie,1958-10-14,Contagem,2460.00
10709360,Patricia,1982-08-08,Contagem,1813.00
10709381,Bettie,1990-05-14,Ribeirão das Neves,1533.00
10709402,Hazel,1977-12-21,Contagem,1719.00
10709423,Sadye,1969-04-06,Ribeirão das Neves,1956.00
10709444,Osborn,1953-08-28,Ribeirão das Neves,1738.00
10709465,Margarite,1955-02-21,Belo Horizonte,2072.00
10709486,Archibald,1986-02-13,Santa Luzia,1325.00
10709507,Theresa,1954-10-01,Santa Luzia,1313.00
10709528,Baxter,1947-09-09,Betim,1599.00
10709549,Salina,1970-05-19,Belo Horizonte,1607.00
10709570,Lelia,1990-02-17,Belo Horizonte,1539.00
10709591,Rodger,1954-05-17,Betim,2224.00
10709612,Lorin,1945-02-02,Contagem,1481.00
10709633,Milda,1973-04-23,Belo Horizonte,2243.00
10709654,Johanna,1972-06-09,Santa Luzia,1813.00
10709675,Elmo,1978-10-01,Betim,1755.00
10709696,Medford,1986-11-09,Ribeirão das Neves,2148.00
10709717,Enid,1980-03-21,Santa Luzia,1986.00
10709738,Saul,1990-07-23,Belo Horizonte,1720.00
10709759,Hulda,1954-03-10,Belo Horizonte,1920.00
10709780,Corda,1953-01-01,Belo Horizonte,1945.00
10709801,Macil,1955-10-16,Betim,2236.00
10709822,Lem,1955-06-15,Ribeirão das Neves,1908.00
10709843,Ruthie,1957-09-29,Belo Horizonte,1722.00
10709864,Vina,1967-06-09,Ribeirão das Neves,1446.00
10709885,Zaidee,1974-07-14,Ribeirão das Neves,2083.00
10709906,Athena,1951-12-27,Santa Luzia,1784.00
10709927,Mason,1986-12-25,Betim,1553.00
10709948,Acie,1954-12-15,Ribeirão das Neves,1935.00
10709969,Ina,1989-03-17,Ribeirão das Neves,1666.00
10709990,Angelina,1996-12-03,Contagem,1921.00
10710011,Levi,1963-10-12,Santa Luzia,2354.00
10710032,Columbia,1949-10-18,Ribeirão das Neves,2086.00
10710053,Issac,1992-08-08,Belo Horizonte,2400.00
10710074,Howell,1978-09-22,Belo Horizonte,1505.00
10710095,Calvin,1999-11-13,Contagem,1757.00
10710116,Houston,1991-12-02,Betim,1928.00
10710137,Perle,1998-02-12,Contagem,1598.00
10710158,Mell,1973-12-05,Santa Luzia,2024.00
10710179,Shelby,1960-07-17,Betim,1873.00
10710200,Margarite,1948-12-30,Contagem,2069.00
10710221,Alta,1955-05-14,Santa Luzia,2271.00
10710242,Bonnie,1997-12-09,Contagem,1631.00
10710263,Angeline,1949-12-05,Ribeirão das Neves,2241.00
10710284,Celina,1964-11-22,Belo Horizonte,1486.00
10710305,Millard,1995-11-14,Betim,2241.00
10710326,Adline,1984-04-14,Ribeirão das Neves,1637.00
10710347,Elbert,1983-04-14,Belo Horizonte,1312.00
10710368,Casimer,1993-03-25,Betim,2194.00
10710389,Ava,1961-12-19,Belo Horizonte,1395.00
10710410,Beulah,1952-02-25,Contagem,1522.00
10710431,Tilda,1968-03-29,Betim,2192.00
10710452,Loney,1951-12-20,Santa Luzia,1576.00
10710473,Dale,1979-05-25,Santa Luzia,1359.00
10710494,Louie,1959-01-19,Santa Luzia,1955.00
10710515,Ilo,1996-06-07,Betim,1383.00
10710536,Rosena,1987-11-10,Ribeirão das Neves,1912.00
10710557,Donnie,1978-08-29,Ribeirão das Neves,1877.00
10710578,Louvenia,1955-12-15,Belo Horizonte,2289.00
10710599,Myrtie,1947-05-03,Betim,1539.00
10710620,Constance,1988-11-15,Belo Horizonte,2225.00
10710641,Cindy,1980-03-05,Betim,2340.00
10710662,Evert,1947-07-04,Contagem,2228.00
10710683,Adda,1979-01-20,Betim,1981.00
10710704,Gertie,1982-06-20,Betim,1751.00
10710725,Erva,1958-03-01,Santa Luzia,1361.00
10710746,Theta,1967-04-16,Ribeirão das Neves,1784.00
10710767,Nova,1990-05-18,Contagem,1996.00
10710788,Junious,1997-04-09,Belo Horizonte,1798.00
10710809,Evie,1951-05-16,Belo Horizonte,1815.00
10710830,Rosia,1949-01-30,Santa Luzia,1959.00
10710851,Teckla,1976-04-29,Betim,1829.00
10710872,Alwilda,1946-11-24,Betim,1962.00
10710893,Elsa,1982-03-05,Santa Luzia,2333.00
10710914,America,1945-02-19,Belo Horizonte,1553.00
10710935,Elroy,1985-10-28,Santa Luzia,2119.00
10710956,Chesley,1971-08-26,Ribeirão das Neves,2164.00
10710977,Lenore,1985-08-06,Contagem,2331.00
10710998,Leatha,1964-01-07,Contagem,1970.00
10711019,Golda,1953-09-01,Ribeirão das Neves,1577.00
10711040,Phoebe,1987-10-31,Santa Luzia,1376.00
10711061,Manie,1971-06-14,Belo Horizonte,1419.00
10711082,Curtis,1970-09-12,Contagem,1873.00
10711103,Dura,1980-07-29,Contagem,1913.00
10711124,Guy,1960-07-28,Contagem,1367.00
10711145,Zada,1981-01-09,Ribeirão das Neves,2238.00
10711166,Mayme,1981-07-06,Belo Horizonte,1809.00
10711187,Venus,1960-04-20,Contagem,1678.00
10711208,Leatha,1969-01-31,Ribeirão das Neves,1306.00
10711229,Silvia,1966-02-21,Betim,2189.00
10711250,Cloyd,1950-12-12,Ribeirão das Neves,1663.00
10711271,Bennie,1957-02-05,Contagem,1704.00
10711292,Girtha,1951-05-04,Santa Luzia,1525.00
10711313,Luellar,1967-12-12,Contagem,2427.00
10711334,Hattie,1981-02-22,Belo Horizonte,2094.00
10711355,Silvia,1984-04-27,Santa Luzia,2441.00
10711376,Salina,1984-02-08,Ribeirão das Neves,2235.00
10711397,Lutie,1982-09-13,Contagem,1817.00
10711418,Nehemiah,1997-12-10,Belo Horizonte,1475.00
10711439,Gracy,1966-09-30,Santa Luzia,2257.00
10711460,Theodor,1970-03-14,Santa Luzia,1361.00
10711481,Sybil,1959-10-20,Ribeirão das Neves,1892.00
10711502,Bobbie,1960-06-16,Ribeirão das Neves,2201.00
10711523,Newton,1983-02-18,Santa Luzia,1625.00
10711544,Nathalie,1961-12-13,Belo Horizonte,1656.00
10711565,Thurley,1957-06-27,Betim,2175.00
10711586,Cenie,1980-02-01,Belo Horizonte,1712.00
10711607,Benton,1999-04-19,Belo Horizonte,1641.00
10711628,Dixie,1966-07-17,Santa Luzia,1404.00
10711649,Zelda,1944-11-10,Santa Luzia,1433.00
10711670,Lennie,1981-10-13,Belo Horizonte,2009.00
10711691,Gretchen,1954-11-17,Santa Luzia,1696.00
10711712,Leila,1957-04-03,Betim,2166.00
10711733,Leafy,1994-03-03,Ribeirão das Neves,2386.00
10711754,Connie,1998-07-10,Ribeirão das Neves,2314.00
10711775,Timothy,1980-06-08,Santa Luzia,1866.00
10711796,Jule,1980-11-26,Santa Luzia,1712.00
10711817,Ernestine,1987-03-11,Belo Horizonte,2194.00
10711838,Mellie,1994-10-03,Santa Luzia,1972.00
10711859,Elvis,1953-05-24,Betim,1301.00
10711880,Tonie,1958-05-21,Ribeirão das Neves,2416.00
10711901,Minnie,1962-10-31,Ribeirão das Neves,1889.00
10711922,Hubert,1961-01-24,Contagem,2376.00
10711943,Erie,1997-09-28,Ribeirão das Neves,2362.00
10711964,Zell,1979-12-08,Belo Horizonte,1637.00
10711985,Jennie,1944-10-01,Betim,2435.00
10712006,Gracia,1963-09-11,Betim,1674.00
10712027,Caroline,1979-11-28,Ribeirão das Neves,1441.00
10712048,Reginald,1962-08-30,Contagem,1659.00
10712069,Odie,1998-05-01,Santa Luzia,2103.00
10712090,Mettie,1951-02-18,Santa Luzia,2138.00
10712111,Kittie,1965-11-20,Ribeirão das Neves,2296.00
10712132,Georgina,1991-05-18,Ribeirão das Neves,1300.00
10712153,Angelo,1975-09-20,Contagem,1629.00
10712174,Rheba,1963-08-23,Belo Horizonte,1985.00
10712195,Allison,1953-02-25,Contagem,2199.00
10712216,Harmon,1958-06-16,Betim,1724.00
10712237,Sylvia,1974-09-18,Betim,1595.00
10712258,Willian,1963-11-18,Belo Horizonte,1575.00
10712279,Axel,1974-02-15,Contagem,2416.00
10712300,Cordie,1992-04-08,Contagem,1381.00
10712321,Judith,1951-08-23,Ribeirão das Neves,2483.00
10712342,Lyla,1971-12-18,Ribeirão das Neves,1984.00
10712363,Clemon,1988-02-17,Contagem,1336.00
10712384,Alvina,1967-05-12,Contagem,1754.00
10712405,Irven,1997-06-22,Ribeirão das Neves,1478.00
10712426,Lula,1992-01-05,Santa Luzia,1557.00
10712447,Robbie,1959-05-01,Betim,2180.00
10712468,Orion,1945-04-04,Contagem,1622.00
10712489,Zura,1973-08-10,Belo Horizonte,2292.00
10712510,Lem,1956-03-11,Belo Horizonte,1849.00
10712531,Anniebelle,1992-10-31,Santa Luzia,1929.00
10712552,Rosy,1978-12-21,Betim,1986.00
10712573,Chester,1974-08-27,Santa Luzia,1872.00
10712594,Cedric,1970-07-06,Contagem,2156.00
10712615,Lucie,1945-05-16,Santa Luzia,1676.00
10712636,Chalmer,1960-11-28,Belo Horizonte,2078.00
10712657,Buna,1997-08-28,Ribeirão das Neves,1915.00
10712678,Josephus,1965-08-17,Contagem,2418.00
10712699,Mannie,1994-02-11,Contagem,2122.00
